# timestamp, qw, qx, qy, qz, tx, ty, tz
1668497733124,-0.98657876,-0.15289758,-0.057219762,0.0032477975,-0.96794665,-0.07648704,11.917844
1668497733639,-0.99121374,-0.1279287,-0.033522643,0.0023605227,-1.0373979,-0.031219186,12.2652235
1668497734495,-0.9904071,-0.111660644,-0.081290826,0.004163891,-1.0561217,-0.030316956,12.9002285
1668497735421,-0.9893647,-0.12857375,-0.06733037,0.009643257,-1.1810012,-0.06915145,13.58903
1668497736101,-0.98953927,-0.11508531,-0.08660909,0.008127928,-1.214493,-0.039639123,14.045968
1668497736859,-0.98760974,-0.14434439,-0.06153444,0.0022889972,-1.3533584,-0.061593883,14.686644
1668497737574,-0.98720574,-0.14213993,-0.07184327,0.0077118576,-1.3424056,-0.054805923,15.286309
1668497738391,-0.9909384,-0.122691035,-0.054658618,5.1549077E-4,-1.4089866,-0.040474694,15.885105
1668497739200,-0.986817,-0.12715484,-0.100107424,0.0014532208,-1.4078188,-0.027692392,16.443867
1668497739877,-0.99024135,-0.1215017,-0.06825416,7.285476E-4,-1.5219893,-0.006556511,17.105846
1668497740669,-0.9898453,-0.1327279,-0.050433274,0.0067920983,-1.5073334,-0.010646357,17.773773
1668497741388,-0.9922399,-0.123893104,-0.010406934,-0.0014531612,-1.6019083,0.0022109952,18.35215
1668497742099,-0.99139005,-0.119219534,-0.053953312,-0.0046365857,-1.5799983,-0.009666778,18.994192
1668497743055,-0.99138343,-0.12457357,-0.04049708,2.1383166E-4,-1.6638104,-0.037768625,19.75549
1668497743683,-0.9904395,-0.10318868,-0.091441244,-0.0044819713,-1.6655501,-0.00401384,20.206549
1668497744482,-0.99197674,-0.11291844,-0.056829926,-0.0013709962,-1.7912806,-0.0061240867,20.897188
1668497745134,-0.9878688,-0.1305063,-0.083488174,0.010630161,-1.8584175,-0.028413989,21.606339
1668497745917,-0.991943,-0.12083106,-0.037995845,0.0022653341,-1.9841499,-0.008182176,22.176172
1668497746462,-0.9921334,-0.11696703,-0.044348575,-0.0048010945,-1.9825346,-0.0034925397,22.723747
1668497747367,-0.99317795,-0.11590347,6.7915395E-4,-0.0127776265,-2.0938907,-0.004387549,23.462912
1668497748055,-0.99340385,-0.10588945,-0.043899022,-0.0029935837,-2.0746927,0.0031445315,24.004385
1668497748875,-0.99352205,-0.108623505,-0.033386573,-2.5478005E-4,-2.2066765,0.0126841,24.67665
1668497749609,-0.9891779,-0.13369136,-0.059908792,0.008036077,-2.2639575,-0.0014449302,25.364836
1668497750290,-0.99141145,-0.12791863,-0.02495443,0.010824174,-2.3715856,0.032501742,25.884325
1668497751019,-0.9915072,-0.12311901,-0.041764636,0.0033070147,-2.324292,0.046412196,26.449633
1668497751895,-0.9931141,-0.11576371,-0.01741695,-0.004424721,-2.3938274,0.01754537,27.339735
1668497752496,-0.99045765,-0.1233463,-0.061422884,0.0024935305,-2.4200711,0.031972133,27.838724
1668497753221,-0.99233615,-0.11753094,-0.03705694,0.009064287,-2.5592964,0.04871342,28.45501
1668497753998,-0.99031913,-0.13369322,-0.037206672,0.0030957758,-2.593149,0.012371065,29.233892
1668497754668,-0.9909342,-0.13209534,-0.023330174,-0.0074793696,-2.7004085,0.032067757,29.91465
1668497755284,-0.9878609,-0.14693898,-0.04956879,0.009074181,-2.680762,0.034083277,30.522924
1668497756201,-0.9876066,-0.15388753,-0.029807318,-0.007951081,-2.727017,0.0069097932,31.299475
1668497756866,-0.98524714,-0.1564297,-0.06837244,0.011952132,-2.753339,0.037103426,31.811605
1668497757546,-0.9871101,-0.15411563,-0.042609695,0.0068026185,-2.8874202,0.07636045,32.316513
1668497758234,-0.98846793,-0.13355725,-0.07131747,0.0026886761,-2.9275997,0.10889326,32.839012
1668497759092,-0.98708236,-0.15812697,-0.02574037,0.0012452602,-2.9978983,0.101864874,33.566704
1668497759731,-0.9914151,-0.122279465,-0.046091065,0.004389107,-2.9813437,0.13943377,34.156353
1668497760509,-0.99448323,-0.10431837,-0.00673873,-0.008679271,-3.0891883,0.121882044,34.948742
1668497761156,-0.9966062,-0.0793045,-0.020898305,-0.0070772767,-3.1100073,0.16477853,35.46022
1668497762004,-0.99477553,-0.10129743,0.011566803,0.005148202,-3.2200365,0.14817616,36.234413
1668497762699,-0.9942186,-0.1029927,-0.028848663,0.009458274,-3.2502913,0.13973235,36.879494
1668497763449,-0.9956095,-0.09311736,-0.002760224,0.009116322,-3.3572223,0.1643024,37.446507
1668497764157,-0.9973347,-0.07073274,-0.017267566,0.004719883,-3.3324442,0.17581472,38.00579
1668497764868,-0.99418616,-0.10712907,-0.010772739,0.0010071695,-3.4374776,0.14569764,38.76951
1668497765647,-0.9912357,-0.12276672,-0.04877436,-0.0011155009,-3.4900703,0.116326675,39.44069
1668497766309,-0.994641,-0.09372017,-0.043358546,-0.005068004,-3.6150174,0.13227212,40.016895
1668497767004,-0.99121726,-0.123048976,-0.04787959,0.007391602,-3.6753378,0.11002572,40.71044
1668497767771,-0.9922558,-0.12138078,-0.026352875,-7.902086E-4,-3.7963357,0.12470751,41.334923
1668497768461,-0.9930508,-0.10708256,-0.048662607,0.0039058328,-3.850681,0.14572948,41.862804
1668497769134,-0.99255466,-0.12176811,0.0027034208,-7.471144E-4,-3.9968412,0.14805116,42.413357
1668497769835,-0.990754,-0.13308033,0.023700297,-0.01159218,-4.0968723,0.13626698,43.07933
1668497770539,-0.96215725,-0.13928854,0.21887204,-0.08334887,-4.2140813,0.13768184,43.65985
1668497774076,-0.718202,-0.10489121,0.6775037,-0.11904782,-3.0020242,0.16318704,45.517864
1668497774689,-0.73280823,-0.10267261,0.66297805,-0.11362386,-2.535594,0.16897567,45.667118
1668497775420,-0.734413,-0.1042541,0.6603401,-0.11713001,-1.8670261,0.17077884,45.67248
1668497776293,-0.73824227,-0.10337186,0.6594195,-0.09735656,-1.1608055,0.18143934,45.794342
1668497776869,-0.7486252,-0.088048995,0.64852536,-0.10593611,-0.7055742,0.18199478,45.781242
1668497777718,-0.7429295,-0.111141115,0.6502397,-0.113541365,0.075094216,0.16476068,45.889034
1668497778383,-0.77367955,-0.11593324,0.612047,-0.11566293,0.65204775,0.15611906,45.88724
1668497779113,-0.75611037,-0.09768334,0.63935566,-0.09989613,1.2401929,0.17476879,45.97498
1668497779845,-0.72979534,-0.103652924,0.668308,-0.10009655,1.9169643,0.17972834,45.993088
1668497780575,-0.6968578,-0.09679499,0.7032522,-0.102255136,2.5726151,0.1805772,46.090538
1668497781205,-0.7155839,-0.091321796,0.6845224,-0.10501823,3.0210044,0.19735348,46.045654
1668497781928,-0.72511756,-0.06678921,0.6804978,-0.08164853,3.5650918,0.21990891,46.094685
1668497782463,-0.769764,-0.070899695,0.6294755,-0.07872152,4.1268044,0.21335973,46.036724
1668497783388,-0.79949397,-0.11714779,0.5834692,-0.08154315,4.8679876,0.20377986,46.024033
1668497783926,-0.86122537,-0.120391876,0.48794803,-0.07551929,5.1579375,0.17531753,46.033115
1668497786464,-0.9575343,-0.12925908,-0.2576963,0.0035590231,6.33079,0.21349359,46.87835
1668497787134,-0.9125056,-0.13255765,-0.38528067,0.036340564,6.39151,0.20257223,47.20434
1668497789746,-0.6098716,-0.08497515,-0.78088903,0.10511002,5.476507,0.22559106,48.08018
1668497790300,-0.6248131,-0.08874577,-0.7688908,0.102662295,5.020755,0.22503495,48.117496
1668497791069,-0.6392455,-0.09478456,-0.7538734,0.11855787,4.3269334,0.22092667,48.01739
1668497791636,-0.6277317,-0.0994606,-0.76528585,0.10197064,3.9116964,0.21566947,48.032734
1668497792461,-0.6132844,-0.10829905,-0.76948977,0.14155884,3.2135322,0.20403987,47.86686
1668497793113,-0.6055137,-0.13993236,-0.77044463,0.14208128,2.8512228,0.17729956,47.850887
1668497793883,-0.63675106,-0.105495244,-0.75279105,0.12932226,2.1876264,0.20630303,47.74477
1668497794535,-0.64133567,-0.1035983,-0.75196165,0.11184597,1.6058637,0.2171526,47.714695
1668497795301,-0.6437816,-0.094947994,-0.750352,0.11619747,1.0339631,0.23148493,47.587086
1668497796163,-0.628388,-0.11233258,-0.7625269,0.10517806,0.38141444,0.23662786,47.557304
1668497796946,-0.6622077,-0.10950163,-0.73147106,0.12016681,-0.37122366,0.22270499,47.481995
1668497797534,-0.64686114,-0.09715161,-0.750417,0.094901025,-0.7409761,0.2531803,47.47233
1668497798270,-0.6502983,-0.11277267,-0.7407105,0.12546808,-1.2466823,0.2284341,47.362732
1668497799155,-0.6635816,-0.1146242,-0.728391,0.12636116,-2.1327934,0.21436624,47.25276
1668497799754,-0.70667195,-0.11534572,-0.68930674,0.11030084,-2.6046593,0.24385393,47.178284
1668497800414,-0.7064034,-0.10481191,-0.69425684,0.08953309,-3.0680568,0.25174734,47.18423
1668497801355,-0.89194,-0.15286401,-0.4178187,0.08064157,-3.8609643,0.24856682,47.326336
1668497803508,-0.99174464,-0.12765916,9.482354E-4,-0.012032181,-4.4101176,0.27826986,48.615463
1668497804164,-0.9894311,-0.14449751,0.006019734,-0.010496557,-4.4884605,0.2616818,49.256104
1668497804719,-0.98997724,-0.1398999,-0.018575419,-0.00528872,-4.432347,0.27088392,49.78374
1668497805560,-0.9891578,-0.14476515,-0.024682838,-7.328987E-4,-4.4924593,0.25687936,50.501743
1668497806082,-0.9919884,-0.11609514,-0.04966186,-0.00381729,-4.4623413,0.29297474,50.893433
1668497806876,-0.9885139,-0.14673162,-0.03514997,-0.0086298585,-4.5451303,0.26441613,51.685074
1668497807503,-0.9892176,-0.12932761,-0.068603575,0.0040522814,-4.552447,0.2836763,52.21801
1668497808324,-0.98808575,-0.1511459,-0.028851688,-0.002973944,-4.653337,0.28938112,52.84354
1668497808975,-0.98666465,-0.15508868,-0.048600916,-0.008839518,-4.7173495,0.27445632,53.499916
1668497809645,-0.9897969,-0.13791502,-0.035364136,-0.005555123,-4.8260927,0.29611486,54.079716
1668497810264,-0.98826325,-0.13878638,-0.06376499,0.0028409362,-4.8674517,0.2942195,54.629505
1668497810945,-0.9916024,-0.12500617,-0.03310015,-0.0015410185,-4.9987016,0.30055135,55.17344
1668497811753,-0.98577243,-0.16008162,-0.050034367,0.011096001,-5.1050534,0.2330733,56.016182
1668497812315,-0.9906715,-0.13495126,-0.018678654,-0.0030252635,-5.1780033,0.25979164,56.53595
1668497812964,-0.9907756,-0.12457828,-0.053173307,-0.0040451884,-5.181184,0.27972752,56.995693
1668497813704,-0.9895485,-0.1425769,-0.02137183,-0.0029219985,-5.2723393,0.26302642,57.723522
1668497814389,-0.98956853,-0.1302769,-0.06149776,-2.938509E-4,-5.3395343,0.24397719,58.453434
1668497815053,-0.99076164,-0.13186108,-0.03152399,-0.0031638443,-5.465378,0.24528106,59.119358
1668497815639,-0.98898244,-0.13564813,-0.059187308,0.0031744242,-5.507298,0.24460325,59.75044
1668497816383,-0.988558,-0.14719337,-0.031211134,-0.010632694,-5.5578966,0.21192549,60.640556
1668497816990,-0.98867524,-0.14281583,-0.042871863,-0.01693055,-5.5797434,0.20553763,61.26543
1668497817579,-0.98916817,-0.13880041,-0.04172129,-0.023234248,-5.637434,0.21196584,61.946636
1668497818277,-0.9875628,-0.14566931,-0.058907054,0.0054882765,-5.661906,0.21649958,62.488476
1668497818851,-0.98952043,-0.14196427,-0.026219904,-0.0028215945,-5.7421427,0.23925336,63.06917
1668497819579,-0.9930186,-0.1031366,-0.056997072,-0.005304992,-5.8116374,0.2380657,63.827915
1668497820340,-0.9951433,-0.093790576,-0.02982976,0.0017869473,-5.9041457,0.27090907,64.37961
1668497820869,-0.99426746,-0.09034668,-0.055896,0.0120586455,-5.9553304,0.26724693,65.03417
1668497821555,-0.99558043,-0.09003094,-0.025883332,0.006626129,-6.066266,0.28659788,65.618416
1668497822143,-0.994426,-0.09388149,-0.047926456,0.0024909377,-6.1027327,0.3025799,66.20321
